漢字,訓読み
銷,と（ける）
緝,あつ（める）
緝,とら（える）
熨,おさ（える）
諍,いさ（める）
諍,うった（える）
褪,あ（せる）
褪,さ（める）
鞏,かた（める）
鞏,つか（ねる）
瘠,や（せる）
糅,か（てる）
糅,まじ（える）
靠,もた（れる）
遯,かく（れる）
遯,に（げる）
遯,のが（れる）
臧,おさ（める）
僭,なぞら（える）
徼,もと（める）
憊,つか（れる）
懈,なま（ける）
懆,うれ（える）
懍,おそ（れる）
擒,とら（える）
橈,ま（げる）
檠,た（める）
踰,こ（える）
澡,きよ（める）
駭,みだ（れる）
駢,なら（べる）
歙,あわ（せる）
歙,おそ（れる）
歙,すぼ（める）
縊,くび（れる）
縢,から（げる）
謔,たわむ（れる）
諳,な（れる）
褶,かさ（ねる）
頽,くずお（れる）
頽,くず（れる）
瞠,みつ（める）
餒,う（える）
殪,たお（れる）
薀,たくわ（える）
邁,つと（める）
窶,やつ（れる）
頹,くずお（れる）
頹,くず（れる）
襍,ま（ぜる）
儡,つか（れる）
燮,やわら（げる）
懃,つと（める）
懋,つと（める）
擠,おとしい（れる）
擡,もた（げる）
擡,もちあ（げる）
擯,しりぞ（ける）
黜,しりぞ（ける）
斂,あつ（める）
斂,おさ（める）
闌,た（ける）
蟄,かく（れる）
膺,う（ける）
騁,は（せる）
麋,くだ（ける）
歛,あた（える）
縺,もつ（れる）
繃,たば（ねる）
聳,おそ（れる）
聳,すす（める）
聳,そび（える）
燬,や（ける）
褻,けが（れる）
褻,な（れる）
癆,おとろえや（せる）
糜,ただ（れる）
餤,すす（める）
藉,かこつ（ける）
邀,むか（える）
邀,もと（める）
遽,あわ（てる）
遽,おそ（れる）
盪,とろ（ける）
虧,か（ける）
豁,ひら（ける）
幫,たす（ける）
懣,もだ（える）
擲,す（てる）
攅,あつ（める）
斃,たお（れる）
闕,か（ける）
蹙,しか（める）
釐,あらた（める）
釐,おさ（める）
燻,くす（べる）
燻,ふす（べる）
鞫,きわ（める）
鞫,しら（べる）
謫,せ（める）
瞿,おそ（れる）
覲,まみ（える）
穢,あ（れる）
穢,けが（れる）
穡,とりい（れる）
翹,あ（げる）
翹,つまだ（てる）
竄,あらた（める）
竄,かく（れる）
竄,に（げる）
竄,のが（れる）
騈,なら（べる）
蹶,たお（れる）
礙,ささ（える）
礙,さまた（げる）
鏤,ちりば（める）
繹,たず（ねる）
繹,つら（ねる）
譏,せ（める）
譛,うった（える）
覈,かんが（える）
覈,しら（べる）
羸,つか（れる）
羸,や（せる）
韲,あ（える）
靡,ただ（れる）
蘊,たくわ（える）
龐,みだ（れる）
蹻,あ（げる）
繳,おさ（める）
嚬,しか（める）
嚬,ひそ（める）
攘,みだ（れる）
臚,つた（える）
臚,なら（べる）
騫,かか（げる）
騫,か（ける）
驀,のりこ（える）
譬,たと（える）
矍,あわ（てる）
饉,う（える）
贏,もう（ける）
蘯,とろ（ける）
騭,さだ（める）
韞,おさ（める）
衊,はずかし（める）
懾,おそ（れる）
懼,おそ（れる）
齧,か（ける）
闢,しりぞ（ける）
闢,ひら（ける）
飆,みだ（れる）
鐫,しりぞ（ける）
纉,あつ（める）
爛,ただ（れる）
譖,うった（える）
譴,せ（める）
譴,とが（める）
饐,す（える）
饌,そな（える）
饑,う（える）
饋,すす（める）
儻,すぐ（れる）
霽,は（れる）
顫,ふる（える）
攢,あつ（める）
鑠,と（ける）
齏,あ（える）
囓,か（ける）
